Model,Strategy,Start_Token,Song-1_jacard_1,Song-1_jacard_2,Song-2_jacard_1,Song-2_jacard_2,Song-3_jacard_1,Song-3_jacard_2,Song-4_jacard_1,Song-4_jacard_2,Song-5_jacard_1,Song-5_jacard_2
model instrument tf 1.0,prob,SOS,0.0959,0.027,0.1194,0.0407,0.0976,0.0314,0.1102,0.0202,0.0593,0.0159
model instrument tf 1.0,prob,random,0.0855,0.0123,0.1053,0.0164,0.0812,0.0215,0.0702,0.0159,0.0423,0.0091
model instrument tf 1.0,argmax,first_word,0.1724,0.0228,0.0938,0.0116,0.1188,0.0312,0.1261,0.0144,0.0896,0.0094
model instrument tf 1.0,argmax,SOS,0.0965,0.0105,0.07,0.0237,0.1443,0.0423,0.104,0.0188,0.1522,0.0364
model instrument tf 1.0,argmax,random,0.0758,0.0206,0.1465,0.0401,0.1721,0.0574,0.0714,0.0255,0.0949,0.016
model instrument tf 1.0,topk,first_word,0.1489,0.0245,0.0938,0.012,0.1538,0.0452,0.1078,0.0226,0.0909,0.0113
model instrument tf 1.0,topk,SOS,0.0984,0.0227,0.1346,0.0217,0.1475,0.0519,0.1111,0.0211,0.0333,0.0
model instrument tf 1.0,topk,random,0.1014,0.0097,0.1009,0.0262,0.05,0.0132,0.0916,0.0213,0.0959,0.025
model piano roll tf 0.5,prob,first_word,0.1231,0.0187,0.1667,0.0524,0.1545,0.0506,0.145,0.0403,0.1485,0.0266
model piano roll tf 0.5,prob,SOS,0.0857,0.0216,0.1382,0.0489,0.1321,0.0415,0.1389,0.0283,0.1188,0.0052
model piano roll tf 0.5,prob,random,0.1163,0.0232,0.082,0.0135,0.1351,0.038,0.1324,0.034,0.1207,0.0133
model piano roll tf 0.5,argmax,first_word,0.1304,0.0256,0.0978,0.0182,0.1059,0.0294,0.0581,0.0067,0.1205,0.0186
model piano roll tf 0.5,argmax,SOS,0.1667,0.036,0.086,0.0305,0.122,0.0359,0.069,0.0,0.0658,0.0138
model piano roll tf 0.5,argmax,random,0.1311,0.0202,0.0319,0.0121,0.0886,0.0261,0.0345,0.0066,0.0843,0.0189
model piano roll tf 0.5,topk,first_word,0.141,0.034,0.1842,0.0608,0.1529,0.0517,0.0989,0.012,0.1538,0.0316
model piano roll tf 0.5,topk,SOS,0.1176,0.0309,0.1553,0.0591,0.1765,0.0649,0.1413,0.0335,0.1176,0.0114
model piano roll tf 0.5,topk,random,0.1579,0.0194,0.0792,0.038,0.1087,0.0421,0.14,0.0209,0.1263,0.026
model piano roll tf 0,prob,first_word,0.1429,0.0175,0.2075,0.044,0.1667,0.0352,0.1261,0.0297,0.0957,0.0216
model piano roll tf 0,prob,SOS,0.15,0.0116,0.1636,0.0283,0.0901,0.0126,0.1635,0.028,0.0957,0.0052
model piano roll tf 0,prob,random,0.1481,0.0142,0.1304,0.0446,0.1143,0.0221,0.1495,0.0209,0.0889,0.0234
model piano roll tf 0,argmax,first_word,0.127,0.028,0.1236,0.0412,0.0633,0.0065,0.1084,0.0314,0.0769,0.0175
model piano roll tf 0,argmax,SOS,0.0984,0.037,0.087,0.0309,0.0375,0.0065,0.0909,0.0176,0.0806,0.0286
model piano roll tf 0,argmax,random,0.0769,0.0364,0.0538,0.0241,0.0247,0.0065,0.0909,0.0123,0.0781,0.0179
model piano roll tf 0,topk,first_word,0.1111,0.0126,0.1538,0.0392,0.1023,0.0103,0.1136,0.0267,0.1159,0.027
model piano roll tf 0,topk,SOS,0.1176,0.0329,0.1633,0.0318,0.0879,0.0259,0.1196,0.0202,0.1,0.0207
model piano roll tf 0,topk,random,0.1286,0.0316,0.1354,0.0457,0.069,0.0233,0.1505,0.0348,0.0845,0.0147
